city,province,latitude,longitude
zizityaneni,eastern cape,-30.876794,29.734028
zoar,western cape,-33.495597,21.443733
zoekmakaar,limpopo,-23.492459,29.942164
zoekmekaar,limpopo,-23.492459,29.942164
zoetap,northern cape,-28.772375,20.641862
zoetdoorns,limpopo,-23.366667,29.4
zoetevelden,limpopo,-24.726156,29.743045
zoetkopjes,limpopo,-24.641921,28.971751
zoetvelden,limpopo,-24.726156,29.743045
zondela,kwazulu natal,-28.306163,31.443798
zonderhule south,northern cape,-29.666667,20.916667
zonderwater,gauteng,-25.689545,28.542572
zonga,eastern cape,-32.427574,28.035784
zonnehoeve,gauteng,-26.070272,27.875403
zonnekus,western cape,-33.883333,18.483333
zonquasdrift,western cape,-33.342928,18.975061
zoo als hy lykt,mpumalanga,-26.815218,29.86402
zotsha,kwazulu natal,-30.783333,30.383333
zout kuil,western cape,-33.516667,20.166667
zoutrivier,western cape,-33.932547,18.466182
zuinguin,kwazulu natal,-27.633333,30.816667
zulumema,eastern cape,-32.241715,26.640541
zuma,kwazulu natal,-30.455999,30.086139
zunckels,kwazulu natal,-28.85307,29.397663
zungwini,kwazulu natal,-27.633333,30.816667
zusterstroom,gauteng,-25.547049,28.947346
zuurbraak,western cape,-34.004425,20.654317
zuurfontein,free state,-29.833333,26.816667
zuurspruit,free state,-29.766532,26.38529
zwaar draai,northern cape,-28.65,20.466667
zwaartkop native location,limpopo,-24.7,30.166667
zwartberg,kwazulu natal,-30.238399,29.340833
zwartbooystad,north west,-25.26827,28.169312
zwartfontein work colony,mpumalanga,-25.206854,30.944757
zwart klip,western cape,-34.083333,18.683333
zwartkops,eastern cape,-33.864057,25.601104
zwartkop,eastern cape,-33.864057,25.601104
zwartkop,limpopo,-24.783333,27.283333
zwartmodderfontein,kwazulu natal,-30.422681,28.879968
zwartmodder,northern cape,-28.027398,20.552269
zwartruggens,north west,-25.650215,26.688564
zwartwater,eastern cape,-31.636543,26.838577
zwartwater,northern cape,-28.483333,16.75
zwa-zakele,eastern cape,-33.875934,25.574323
zweletemba,western cape,-33.648766,19.490119
zwelidumile,eastern cape,-32.3,28.6
zwelitsha,eastern cape,-32.919991,27.425858
zwide,eastern cape,-33.867294,25.563919
springfontein,mpumalanga,-26.092131,29.987053
spring hill,eastern cape,-32.116667,28.85
springkaanfontein,free state,-29.515957,27.056234
springs,free state,-29.469251,26.859645
springs,eastern cape,-31.466667,28.366667
spring's,eastern cape,-32.461584,28.063725
springs,gauteng,-26.25,28.4
spring vale south african national tuberculosis settlement,eastern cape,-31.630058,28.67741
springvale,eastern cape,-31.182426,25.754708
spring vale,eastern cape,-31.630058,28.67741
springvale,eastern cape,-31.717554,25.789744
springvale,north west,-26.87727,26.807703
spring valley,eastern cape,-30.774648,26.409097
spykerras,gauteng,-25.455556,28.266944
square hill,western cape,-34.066747,18.465988
staatsplaas,eastern cape,-31.683333,27.2
stable,limpopo,-23.133333,30.516667
stafford's post,kwazulu natal,-30.516667,29.75
stafpoort,free state,-30.070113,26.386473
standerston,mpumalanga,-26.933655,29.241518
